channel,grooming,model_covariance,pt_low_GeV,chi2_reco,dof_reco,chi2_unfolded,dof_unfolded,log10_p_reco,log10_p_unfolded,raw_chi2_pass,pvalue_pass
trijet,groomed,accepted_enclosing_model,200,55.00902837333586,9.0,18.030420216240127,5.005137689452833,-7.916089848867557,-2.5345315305228566,True,True
trijet,groomed,accepted_enclosing_model,290,70.4470711999997,9.0,3.9276973784241234,5.0025925462826475,-10.905077383311111,-0.2516354369944698,True,True
trijet,groomed,accepted_enclosing_model,400,23.575621504952732,9.0,5.667144011347638,5.007345001923241,-2.298850857075317,-0.46744045923873623,True,True
trijet,groomed,accepted_enclosing_model,global,149.03172107828829,27.0,41.95984733954858,15.015075237658724,-18.113463794020948,-3.63832595555411,True,True
trijet,ungroomed,canonical,200,6.756963043787714,9.0,2.9045521669670245,5.439049506389323,-0.17887557021305553,-0.11599754414472499,True,True
trijet,ungroomed,canonical,290,28.35185703976659,9.0,5.489055099918959,5.536240042014552,-3.079403425412159,-0.3710408544317479,True,True
trijet,ungroomed,canonical,400,44.236906802531884,9.0,7.593162088030991,5.339528442296468,-5.894014087055866,-0.6802449802688021,True,True
trijet,ungroomed,canonical,global,79.34572688608618,27.0,36.13976761487056,16.314817990700345,-6.323945090266989,-2.4933302446373973,True,True
trijet,ungroomed,accepted_enclosing_model,200,6.756963043787714,9.0,1.8050372788928042,5.439049506389323,-0.17887557021305553,-0.04253587064734296,True,True
trijet,ungroomed,accepted_enclosing_model,290,28.35185703976659,9.0,4.971961715182244,5.536240042014552,-3.079403425412159,-0.31075025140011686,True,True
trijet,ungroomed,accepted_enclosing_model,400,44.236906802531884,9.0,5.598148937889611,5.339528442296468,-5.894014087055866,-0.4103502200587807,True,True
trijet,ungroomed,accepted_enclosing_model,global,79.34572688608618,27.0,27.948020645365947,16.314817990700345,-6.323945090266989,-1.4444817032526645,True,True
